asset_id,scope,classification,format,path,record_count,build_status,generated_output,notes
region-aix-geojson,region,region-map,geojson,source/ASSETS/75_Execution_Maps/Aix_Execution_Map_v0.2.geojson,7,active,site/maps/data/Aix_Execution_Map_v0.2.geojson,지역 기준점 중복 데이터
region-aix-kml,region,region-map,kml,source/ASSETS/75_Execution_Maps/Aix_Execution_Map_v0.2.kml,7,active,site/maps/data/Aix_Execution_Map_v0.2.kml + site/maps/kml/aix.kml,Organic Maps/My Maps 백업·배포
region-luberon-html,region,region-map,html,source/ASSETS/75_Execution_Maps/Luberon_Execution_Map_v0.2.html,8,active,site/maps/luberon.html,Leaflet 지역 실행지도 원본
region-luberon-geojson,region,region-map,geojson,source/ASSETS/75_Execution_Maps/Luberon_Execution_Map_v0.2.geojson,8,active,site/maps/data/Luberon_Execution_Map_v0.2.geojson,지역 기준점 중복 데이터
region-luberon-kml,region,region-map,kml,source/ASSETS/75_Execution_Maps/Luberon_Execution_Map_v0.2.kml,8,active,site/maps/data/Luberon_Execution_Map_v0.2.kml + site/maps/kml/luberon.kml,Organic Maps/My Maps 백업·배포
region-avignon-html,region,region-map,html,source/ASSETS/75_Execution_Maps/Avignon_Execution_Map_v0.2.html,8,active,site/maps/avignon.html,Leaflet 지역 실행지도 원본
region-avignon-geojson,region,region-map,geojson,source/ASSETS/75_Execution_Maps/Avignon_Execution_Map_v0.2.geojson,8,active,site/maps/data/Avignon_Execution_Map_v0.2.geojson,지역 기준점 중복 데이터
region-avignon-kml,region,region-map,kml,source/ASSETS/75_Execution_Maps/Avignon_Execution_Map_v0.2.kml,8,active,site/maps/data/Avignon_Execution_Map_v0.2.kml + site/maps/kml/avignon.kml,Organic Maps/My Maps 백업·배포
region-lyon-html,region,region-map,html,source/ASSETS/75_Execution_Maps/Lyon_Execution_Map_v0.2.html,8,active,site/maps/lyon.html,Leaflet 지역 실행지도 원본
region-lyon-geojson,region,region-map,geojson,source/ASSETS/75_Execution_Maps/Lyon_Execution_Map_v0.2.geojson,8,active,site/maps/data/Lyon_Execution_Map_v0.2.geojson,지역 기준점 중복 데이터
region-lyon-kml,region,region-map,kml,source/ASSETS/75_Execution_Maps/Lyon_Execution_Map_v0.2.kml,8,active,site/maps/data/Lyon_Execution_Map_v0.2.kml + site/maps/kml/lyon.kml,Organic Maps/My Maps 백업·배포
region-paris-html,region,region-map,html,source/ASSETS/75_Execution_Maps/Paris_Execution_Map_v0.2.html,10,active,site/maps/paris.html,Leaflet 지역 실행지도 원본
region-paris-geojson,region,region-map,geojson,source/ASSETS/75_Execution_Maps/Paris_Execution_Map_v0.2.geojson,10,active,site/maps/data/Paris_Execution_Map_v0.2.geojson,지역 기준점 중복 데이터
region-paris-kml,region,region-map,kml,source/ASSETS/75_Execution_Maps/Paris_Execution_Map_v0.2.kml,10,active,site/maps/data/Paris_Execution_Map_v0.2.kml + site/maps/kml/paris.kml,Organic Maps/My Maps 백업·배포
daily-routes-prototype,trip,daily-map-data,json,source/ASSETS/76_Daily_Execution_Maps/daily-maps.json,5 days / 16 placements,active,site/assets/daily-map-data.js + 5 daily pages,43일 중 Day 1·2·3·5·6만 존재
daily-map-ui,trip,map-runtime,js,build/assets/daily-map.js,,active,site/assets/daily-map.js,Leaflet·OSM·직선 경로·Google Maps URL
map-build-generator,trip,build-generator,py,build/build.py,,active,site/maps/* + site/daily/*,지역·일자 지도 생성 및 가드
place-registry-md,trip,place-index,md,source/ASSETS/91_Place_Registry_v1.0.md,84 rows,active,site/places/*,좌표 없는 장소 축 정본; 목표 JSON 모델과 충돌
map-index,trip,reference,md,source/ASSETS/75_Execution_Map_Index_v1.1.md,8 regions,active,site/maps/index.html,지역 지도 목록
daily-card-index,trip,reference,md,source/ASSETS/80_Daily_Mobile_Guide_Image_Index_v1.1.md,43 days,active,,정적 schematic 카드 목록
day-routing-matrix,trip,reference,md,source/OPERATIONS/103_Day_to_Execution_Map_Routing_Matrix_v1.0.md,43 days,active,43 daily pages,지역 지도 연결 정본
phase6-report,trip,reference,md,docs/PHASE6_EXECUTION_MAPS_REPORT_v1.0.md,8 regions,stale,,65점으로 기록되어 현재 68점과 불일치
leaflet-layers-2x.png,trip,map-runtime-vendor,png,build/assets/vendor/leaflet/images/layers-2x.png,,active,site/maps/vendor/leaflet/images/layers-2x.png,한 릴리스 보관 후 archive 대상
leaflet-layers.png,trip,map-runtime-vendor,png,build/assets/vendor/leaflet/images/layers.png,,active,site/maps/vendor/leaflet/images/layers.png,한 릴리스 보관 후 archive 대상
leaflet-marker-icon-2x.png,trip,map-runtime-vendor,png,build/assets/vendor/leaflet/images/marker-icon-2x.png,,active,site/maps/vendor/leaflet/images/marker-icon-2x.png,한 릴리스 보관 후 archive 대상
leaflet-marker-icon.png,trip,map-runtime-vendor,png,build/assets/vendor/leaflet/images/marker-icon.png,,active,site/maps/vendor/leaflet/images/marker-icon.png,한 릴리스 보관 후 archive 대상
leaflet-marker-shadow.png,trip,map-runtime-vendor,png,build/assets/vendor/leaflet/images/marker-shadow.png,,active,site/maps/vendor/leaflet/images/marker-shadow.png,한 릴리스 보관 후 archive 대상
leaflet-leaflet.css,trip,map-runtime-vendor,css,build/assets/vendor/leaflet/leaflet.css,,active,site/maps/vendor/leaflet/leaflet.css,한 릴리스 보관 후 archive 대상
leaflet-leaflet.js,trip,map-runtime-vendor,js,build/assets/vendor/leaflet/leaflet.js,,active,site/maps/vendor/leaflet/leaflet.js,한 릴리스 보관 후 archive 대상
daily-card-legacy-01,Day 1,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_01_Barcelona.png,1,active-fallback,site/daily/img/day-01.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-02,Day 2,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_02_Barcelona.png,1,active-fallback,site/daily/img/day-02.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-03,Day 3,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_03_Barcelona.png,1,active-fallback,site/daily/img/day-03.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-04,Day 4,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_04_Girona.png,1,superseded-hidden,site/daily/img/day-04.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-05,Day 5,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_05_Girona.png,1,superseded-hidden,site/daily/img/day-05.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-06,Day 6,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_06_Girona.png,1,superseded-hidden,site/daily/img/day-06.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-07,Day 7,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_07_Nice.png,1,active-fallback,site/daily/img/day-07.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-08,Day 8,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_08_Nice.png,1,active-fallback,site/daily/img/day-08.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-09,Day 9,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_09_Nice.png,1,active-fallback,site/daily/img/day-09.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-10,Day 10,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_10_Nice.png,1,active-fallback,site/daily/img/day-10.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-11,Day 11,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_11_Nice.png,1,active-fallback,site/daily/img/day-11.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-12,Day 12,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_12_Aix-en-Provence.png,1,superseded-by-phase4,,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-13,Day 13,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_13_Aix-en-Provence.png,1,superseded-by-phase4,,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-14,Day 14,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_14_Aix-en-Provence.png,1,superseded-by-phase4,,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-15,Day 15,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_15_Aix-en-Provence.png,1,superseded-by-phase4,,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-16,Day 16,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_16_Luberon.png,1,superseded-by-phase4,,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-17,Day 17,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_17_Luberon.png,1,superseded-by-phase4,,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-18,Day 18,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_18_Luberon.png,1,superseded-by-phase4,,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-19,Day 19,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_19_Luberon.png,1,superseded-by-phase4,,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-20,Day 20,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_20_Avignon.png,1,superseded-by-phase4,,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-21,Day 21,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_21_Avignon.png,1,superseded-by-phase4,,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-22,Day 22,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_22_Avignon.png,1,superseded-by-phase4,,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-23,Day 23,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_23_Avignon.png,1,superseded-by-phase4,,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-24,Day 24,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_24_Lyon.png,1,superseded-by-phase4,,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-25,Day 25,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_25_Lyon.png,1,active-fallback,site/daily/img/day-25.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-26,Day 26,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_26_Lyon.png,1,active-fallback,site/daily/img/day-26.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-27,Day 27,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_27_Lyon.png,1,active-fallback,site/daily/img/day-27.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-28,Day 28,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_28_Paris.png,1,active-fallback,site/daily/img/day-28.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-29,Day 29,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_29_Paris.png,1,active-fallback,site/daily/img/day-29.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-30,Day 30,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_30_Paris.png,1,active-fallback,site/daily/img/day-30.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-31,Day 31,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_31_Paris.png,1,active-fallback,site/daily/img/day-31.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-32,Day 32,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_32_Paris.png,1,active-fallback,site/daily/img/day-32.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-33,Day 33,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_33_Paris.png,1,active-fallback,site/daily/img/day-33.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-34,Day 34,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_34_Paris.png,1,active-fallback,site/daily/img/day-34.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-35,Day 35,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_35_Paris.png,1,active-fallback,site/daily/img/day-35.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-36,Day 36,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_36_Paris.png,1,active-fallback,site/daily/img/day-36.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-37,Day 37,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_37_Paris.png,1,active-fallback,site/daily/img/day-37.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-38,Day 38,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_38_Paris.png,1,active-fallback,site/daily/img/day-38.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-39,Day 39,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_39_Paris.png,1,active-fallback,site/daily/img/day-39.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-40,Day 40,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_40_Paris.png,1,active-fallback,site/daily/img/day-40.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-41,Day 41,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_41_Paris.png,1,active-fallback,site/daily/img/day-41.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-42,Day 42,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_42_Paris.png,1,active-fallback,site/daily/img/day-42.png,직선형 일정 개요; 내비게이션 아님
daily-card-legacy-43,Day 43,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Day_43_Paris_Seoul.png,1,active-fallback,site/daily/img/day-43.png,직선형 일정 개요; 내비게이션 아님
daily-card-phase4-12,Day 12,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Day_12_Aix-en-Provence_Phase4_v1.0.png,1,active-fallback,site/daily/img/day-12.png,Day 12–24 우선본; 직선형 일정 개요
daily-card-phase4-13,Day 13,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Day_13_Aix-en-Provence_Phase4_v1.0.png,1,active-fallback,site/daily/img/day-13.png,Day 12–24 우선본; 직선형 일정 개요
daily-card-phase4-14,Day 14,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Day_14_Aix-en-Provence_Phase4_v1.0.png,1,active-fallback,site/daily/img/day-14.png,Day 12–24 우선본; 직선형 일정 개요
daily-card-phase4-15,Day 15,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Day_15_Aix-en-Provence_Phase4_v1.0.png,1,active-fallback,site/daily/img/day-15.png,Day 12–24 우선본; 직선형 일정 개요
daily-card-phase4-16,Day 16,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Day_16_Luberon_Phase4_v1.0.png,1,active-fallback,site/daily/img/day-16.png,Day 12–24 우선본; 직선형 일정 개요
daily-card-phase4-17,Day 17,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Day_17_Luberon_Phase4_v1.0.png,1,active-fallback,site/daily/img/day-17.png,Day 12–24 우선본; 직선형 일정 개요
daily-card-phase4-18,Day 18,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Day_18_Luberon_Phase4_v1.0.png,1,active-fallback,site/daily/img/day-18.png,Day 12–24 우선본; 직선형 일정 개요
daily-card-phase4-19,Day 19,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Day_19_Luberon_Phase4_v1.0.png,1,active-fallback,site/daily/img/day-19.png,Day 12–24 우선본; 직선형 일정 개요
daily-card-phase4-20,Day 20,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Day_20_Avignon_Phase4_v1.0.png,1,active-fallback,site/daily/img/day-20.png,Day 12–24 우선본; 직선형 일정 개요
daily-card-phase4-21,Day 21,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Day_21_Avignon_Phase4_v1.0.png,1,active-fallback,site/daily/img/day-21.png,Day 12–24 우선본; 직선형 일정 개요
daily-card-phase4-22,Day 22,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Day_22_Avignon_Phase4_v1.0.png,1,active-fallback,site/daily/img/day-22.png,Day 12–24 우선본; 직선형 일정 개요
daily-card-phase4-23,Day 23,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Day_23_Avignon_Phase4_v1.0.png,1,active-fallback,site/daily/img/day-23.png,Day 12–24 우선본; 직선형 일정 개요
daily-card-phase4-24,Day 24,static-daily-schematic,png,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Day_24_Lyon_Phase4_v1.0.png,1,active-fallback,site/daily/img/day-24.png,Day 12–24 우선본; 직선형 일정 개요
daily-card-sample-01,Provence,static-daily-schematic-sample,png,source/ASSETS/80_Daily_Mobile_Guide_Images/PassB_Provence_Samples/2026-09-09_PassB_Mobile_Guide_v1.0.png,1,reference-only,,Pass B 샘플; 빌드 미사용
daily-card-sample-02,Provence,static-daily-schematic-sample,png,source/ASSETS/80_Daily_Mobile_Guide_Images/PassB_Provence_Samples/2026-09-13_PassB_Mobile_Guide_v1.0.png,1,reference-only,,Pass B 샘플; 빌드 미사용
daily-card-sample-03,Provence,static-daily-schematic-sample,png,source/ASSETS/80_Daily_Mobile_Guide_Images/PassB_Provence_Samples/2026-09-17_PassB_Mobile_Guide_v1.0.png,1,reference-only,,Pass B 샘플; 빌드 미사용
daily-card-sample-04,Provence,static-daily-schematic-sample,png,source/ASSETS/80_Daily_Mobile_Guide_Images/PassB_Provence_Samples/2026-09-19_PassB_Mobile_Guide_v1.0.png,1,reference-only,,Pass B 샘플; 빌드 미사용
daily-contact-01,trip,derived-contact-sheet,jpg,source/ASSETS/80_Daily_Mobile_Guide_Images/Contact_Sheet_01.jpg,1,reference-only,,기존 카드 컨택트시트
daily-contact-02,trip,derived-contact-sheet,jpg,source/ASSETS/80_Daily_Mobile_Guide_Images/Contact_Sheet_02.jpg,1,reference-only,,기존 카드 컨택트시트
daily-contact-03,trip,derived-contact-sheet,jpg,source/ASSETS/80_Daily_Mobile_Guide_Images/Contact_Sheet_03.jpg,1,reference-only,,기존 카드 컨택트시트
daily-contact-04,trip,derived-contact-sheet,jpg,source/ASSETS/80_Daily_Mobile_Guide_Images/Contact_Sheet_04.jpg,1,reference-only,,기존 카드 컨택트시트
daily-contact-05,trip,derived-contact-sheet,jpg,source/ASSETS/80_Daily_Mobile_Guide_Images/Contact_Sheet_05.jpg,1,reference-only,,기존 카드 컨택트시트
phase4-contact-01,Provence,derived-contact-sheet,jpg,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Contact_Sheets/Provence_Phase4_Contact_01.jpg,1,reference-only,,Phase 4 카드 컨택트시트
phase4-contact-02,Provence,derived-contact-sheet,jpg,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Contact_Sheets/Provence_Phase4_Contact_02.jpg,1,reference-only,,Phase 4 카드 컨택트시트
phase4-contact-03,Provence,derived-contact-sheet,jpg,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Contact_Sheets/Provence_Phase4_Contact_03.jpg,1,reference-only,,Phase 4 카드 컨택트시트
phase4-contact-04,Provence,derived-contact-sheet,jpg,source/ASSETS/80_Daily_Mobile_Guide_Images/Phase4_Provence_Final/Contact_Sheets/Provence_Phase4_Contact_04.jpg,1,reference-only,,Phase 4 카드 컨택트시트
editorial-route-overview,trip,static-route-infographic,png,source/ASSETS/85_Editorial_Visuals/01_Whole_Trip_Route_and_Stay_Structure_v1.0.png,1,active,site/assets/visuals/01_Whole_Trip_Route_and_Stay_Structure_v1.0.png,전체 여행 경로·숙박 구조 도식
