slug,name,verdict,recommended_query,resolved_name,resolved_address,evidence_url,note
musee-rodin,Musée Rodin,FOUND,"Musée Rodin, Paris",Musée Rodin,"77 Rue de Varenne, 75007 Paris",https://www.musee-rodin.fr/,"Meudon 별관 존재 — 'Paris' 필수"
musee-d-art-moderne-de-paris,Musée d'Art Moderne de Paris,FOUND,"Musée d'Art Moderne de Paris, Paris",Musée d'Art Moderne de Paris,"11 Avenue du Président Wilson, 75116 Paris",https://www.mam.paris.fr/,"Palais de Tokyo 와 입구·기관 다름"
musee-d-orsay,Musée d'Orsay,FOUND,"Musée d'Orsay, Paris",Musée d'Orsay,"1 Rue de la Légion d'Honneur, 75007 Paris",https://www.musee-orsay.fr/,좌표 일치
musee-de-l-orangerie,Musée de l'Orangerie,FOUND,"Musée de l'Orangerie, Paris",Musée de l'Orangerie,"Jardin des Tuileries, 75001 Paris",https://www.musee-orangerie.fr/,좌표 일치
musee-du-louvre,Musée du Louvre,FOUND,"Musée du Louvre, Paris",Musée du Louvre,"Rue de Rivoli, 75001 Paris",https://www.louvre.fr/,좌표 일치
musee-du-luxembourg,Musée du Luxembourg,FOUND,"Musée du Luxembourg, Paris",Musée du Luxembourg,"19 Rue de Vaugirard, 75006 Paris",https://museeduluxembourg.fr/en/hours-and-access,"인접 Palais·Jardin 과 혼동 주의"
notre-dame-de-paris,Notre-Dame de Paris,FOUND,"Cathédrale Notre-Dame de Paris, Paris",Cathédrale Notre-Dame de Paris,"6 Parvis Notre-Dame, 75004 Paris",https://www.notredamedeparis.fr/,좌표 일치
petit-palais,Petit Palais,FOUND,"Petit Palais, Paris",Petit Palais,"Avenue Winston-Churchill, 75008 Paris",https://www.petitpalais.paris.fr/,좌표 일치
versailles,Versailles,FOUND,"Château de Versailles, Versailles",Château de Versailles,"Place d'Armes, 78000 Versailles",https://en.chateauversailles.fr/,"'Versailles' 단독은 도시명 — 'Château de' 필수. 좌표 약 700m 오차"
INFLIGHT,기내 (OZ502) — 숙소 없음,NOT_FOUND,,,,,"지리적 장소가 아님 — 지도 대상 제외"
