slug,name,verdict,recommended_query,resolved_name,resolved_address,evidence_url,note
annecy,Annecy 구시가지,AMBIGUOUS,,Annecy Vieille Ville,"Vieille Ville, 74000 Annecy",https://en.wikipedia.org/wiki/Annecy,"구시가+호수를 묶어 핀이 임의. 앵커로 Palais de l'Île 권장. city_hint 오류(Lyon)"
bellecour,Bellecour,FOUND,"Place Bellecour, Lyon",Place Bellecour,"Place Bellecour, 69002 Lyon",https://en.wikipedia.org/wiki/Place_Bellecour,"'Place' 접두 권장 — 지하철역과 겹침"
cafe-comptoir-abel,Café Comptoir Abel,FOUND,"Café Comptoir Abel, 25 rue Guynemer, Lyon",Café Comptoir Abel,"25 rue Guynemer, 69002 Lyon",https://www.visiterlyon.com/,"좌표 약 3km 오차 — 숙소 좌표 복사"
chez-mamie-lise,Chez Mamie Lise,FOUND,"Chez Mamie Lise, 11 rue Grenette, Annecy",Chez Mamie Lise,"11 rue Grenette, 74000 Annecy",https://www.mamie-lise.com/restaurant-annecy/contact/,"city_hint 오류 — 실제 Annecy"
croix-rousse,Croix-Rousse,AMBIGUOUS,,La Croix-Rousse,"Place de la Croix-Rousse, 69004 Lyon",https://en.wikipedia.org/wiki/Croix-Rousse,"면 단위. 동명 역·병원과 충돌. 앵커로 Place de la Croix-Rousse 권장"
daniel-et-denise,Daniel et Denise,AMBIGUOUS,,Daniel et Denise Créqui,"156 rue de Créqui, 69003 Lyon",https://guide.michelin.com/fr/fr/auvergne-rhone-alpes/lyon/restaurant/daniel-et-denise-crequi,"리옹 내 다지점 — 지점명 필수. 좌표 오류(숙소 좌표 복사)"
fourviere,Fourvière,AMBIGUOUS,,Basilique Notre-Dame de Fourvière,"8 Place de Fourvière, 69005 Lyon",https://en.wikipedia.org/wiki/Notre-Dame_de_Fourvi%C3%A8re,"언덕 전체(바실리카+로마극장)를 묶음 — 400m 떨어진 두 지점"
halles-de-lyon-paul-bocuse,Halles de Lyon Paul Bocuse,FOUND,"Les Halles de Lyon Paul Bocuse, 102 cours Lafayette, Lyon",Les Halles de Lyon — Paul Bocuse,"102 cours Lafayette, 69003 Lyon",https://www.halles-de-lyon-paulbocuse.com/informations-utiles/,"좌표 약 230m 오차. 일요일 16:30 마감"
LAGRANGE-HOTEL,Lagrange Aparthotel Lyon Lumière,FOUND,"Lagrange Apart'Hotel Lyon Lumière, 81-85 Cours Albert Thomas, Lyon",Lagrange Apart'Hôtel Lyon Lumière,"81-85 Cours Albert Thomas, 69003 Lyon",https://www.lagrange-aparthotel.com/lyon/,"좌표 일치 — 이 좌표가 다른 리옹 항목에 잘못 복사됨"
parc-de-la-tete-d-or,Parc de la Tête d'Or,FOUND,"Parc de la Tête d'Or, Lyon",Parc de la Tête d'Or,"Place Général Leclerc, 69006 Lyon",https://en.wikipedia.org/wiki/Parc_de_la_T%C3%AAte_d%27Or,"117ha — 출입문 기준 권장"
vieux-lyon,Vieux Lyon · 트라불,AMBIGUOUS,,Vieux Lyon (Saint-Jean),"Quartier Saint-Jean, 69005 Lyon",https://en.wikipedia.org/wiki/Vieux_Lyon,"구역+통로 총칭 — 단일 핀 없음. 앵커로 Cathédrale Saint-Jean-Baptiste 권장"
