item_type,slug,name,region,status,notes
REGIONAL_FOOD,filets-de-perche-fera,안시 호수 생선구이 (페라 / 농어),annecy,ACTIVE,Lake Fish
REGIONAL_FOOD,reblochon-tomme-savoie,사부아 치즈 (르블로숑 & 톰 드 사부아),annecy,ACTIVE,Artisan Cheese
REGIONAL_FOOD,quenelle-de-brochet,강꼬치고기 끄넬 (낭튀아 가재 소스),lyon,ACTIVE,Main Dish
REGIONAL_FOOD,salade-lyonnaise,살라드 리요네즈,lyon,ACTIVE,Salad / Entrée
REGIONAL_FOOD,saucisson-brioche,소시송 브리오셰,lyon,ACTIVE,Charcuterie / Pastry
REGIONAL_FOOD,tablier-de-sapeur,타블리에 드 사푀르 (소 양 튀김),lyon,ACTIVE,Offal Dish
REGIONAL_FOOD,cervelle-de-canut,세르벨 드 카뉘 (허브 생치즈),lyon,ACTIVE,Cheese / Dip
REGIONAL_FOOD,tarte-aux-pralines,타르트 오 프랄린 (분홍 프랄린 타르트),lyon,ACTIVE,Dessert / Pastry
REGIONAL_FOOD,croissant-pain-au-chocolat,크루아상 & 팽 오 쇼콜라,paris,ACTIVE,Viennoiserie
REGIONAL_FOOD,baguette-tradition,바게트 트라디시옹,paris,ACTIVE,Boulangerie
REGIONAL_FOOD,jambon-beurre,잠봉 뵈르 샌드위치,paris,ACTIVE,Street / Quick Lunch
REGIONAL_FOOD,confit-de-canard,오리 다리 콩피,paris,ACTIVE,Bistro Classic
REGIONAL_FOOD,steak-frites,스테이크 프릿,paris,ACTIVE,Bistro Classic
REGIONAL_FOOD,boeuf-bourguignon,뵈프 부르기뇽,paris,ACTIVE,Slow Cooked Stew
REGIONAL_FOOD,escargots-de-bourgogne,에스카르고 (달팽이 구이),paris,ACTIVE,Entrée
REGIONAL_FOOD,poulet-roti-marche,노천시장 로티세리 치킨 & 감자,paris,ACTIVE,Market Comfort
FOOD_PLACE,bar-canete,Bar Cañete,barcelona,ACTIVE,restaurant
FOOD_PLACE,bodega-joan,Bodega Joan,barcelona,ACTIVE,restaurant
FOOD_PLACE,bouillon-chartier-montparnasse,Bouillon Chartier Montparnasse,paris,ACTIVE,restaurant
FOOD_PLACE,boulangerie-pichard,Boulangerie Pichard,paris,ACTIVE,bakery
FOOD_PLACE,cafe-comptoir-abel,Café Comptoir Abel,lyon,ACTIVE,restaurant
FOOD_PLACE,cafe-du-commerce,Café du Commerce,paris,ACTIVE,restaurant
FOOD_PLACE,casa-marieta,Casa Marieta,girona,ACTIVE,restaurant
FOOD_PLACE,chez-gilbert-cassis,Chez Gilbert,aix,ACTIVE,restaurant
FOOD_PLACE,chez-mamie-lise,Chez Mamie Lise,lyon,ACTIVE,restaurant
FOOD_PLACE,cours-saleya,Cours Saleya,nice,ACTIVE,market
FOOD_PLACE,coustellet,Coustellet 생산자 시장,luberon,ACTIVE,market
FOOD_PLACE,daniel-et-denise,Daniel et Denise,lyon,ACTIVE,restaurant
FOOD_PLACE,fou-de-fafa-avignon,Fou de Fafa,avignon,ACTIVE,restaurant
FOOD_PLACE,halles-de-lyon-paul-bocuse,Halles de Lyon Paul Bocuse,lyon,ACTIVE,market
FOOD_PLACE,la-paradeta-sagrada-familia,La Paradeta Sagrada Família,barcelona,ACTIVE,restaurant
FOOD_PLACE,la-zorra,La Zorra,barcelona,ACTIVE,restaurant
FOOD_PLACE,le-figuier-de-saint-esprit,Le Figuier de Saint-Esprit,nice,ACTIVE,restaurant
FOOD_PLACE,le-gibolin-arles,Le Gibolin,avignon,ACTIVE,restaurant
FOOD_PLACE,le-grand-pan,Le Grand Pan,paris,ACTIVE,restaurant
FOOD_PLACE,les-cocottes-saint-louis,Les Cocottes Saint-Louis,avignon,ACTIVE,restaurant
FOOD_PLACE,marche-convention,Marché Convention,paris,ACTIVE,market
FOOD_PLACE,marche-de-la-liberation,Marché de la Libération,nice,ACTIVE,market
FOOD_PLACE,marche-forville,Marché Forville,nice,ACTIVE,market
FOOD_PLACE,mercat-concepcio,Mercat de la Concepció,barcelona,ACTIVE,market
FOOD_PLACE,mercat-del-lleo,Mercat del Lleó,girona,ACTIVE,market
FOOD_PLACE,patisserie-weibel,Pâtisserie Weibel,aix,ACTIVE,cafe
FOOD_PLACE,place-richelme-place-des-precheurs,시장 — Place Richelme · Place des Prêcheurs,aix,ACTIVE,market
FOOD_PLACE,restaurant-beatrice,Restaurant & Salon de Thé Béatrice,nice,ACTIVE,restaurant
FOOD_PLACE,vieux-lyon,Vieux Lyon · 트라불,lyon,ACTIVE,neighborhood
