issue_id,day,severity,category,summary,detail,remediation_phase
ISSUE-MAP-29,29,P2,MAP_ROUTE,Day 29 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-30,30,P2,MAP_ROUTE,Day 30 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-31,31,P2,MAP_ROUTE,Day 31 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-32,32,P2,MAP_ROUTE,Day 32 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-33,33,P2,MAP_ROUTE,Day 33 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-34,34,P2,MAP_ROUTE,Day 34 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-35,35,P2,MAP_ROUTE,Day 35 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-36,36,P2,MAP_ROUTE,Day 36 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-37,37,P2,MAP_ROUTE,Day 37 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-38,38,P2,MAP_ROUTE,Day 38 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-39,39,P2,MAP_ROUTE,Day 39 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-40,40,P2,MAP_ROUTE,Day 40 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-41,41,P2,MAP_ROUTE,Day 41 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-42,42,P2,MAP_ROUTE,Day 42 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-43,43,P2,MAP_ROUTE,Day 43 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-PLC-arles,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `arles` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/arles.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-bastide-du-jas-de-bouffan,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `bastide-du-jas-de-bouffan` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/bastide-du-jas-de-bouffan.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-bonnieux,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `bonnieux` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/bonnieux.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-bourse-de-commerce-pinault-collection,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `bourse-de-commerce-pinault-collection` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/bourse-de-commerce-pinault-collection.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-calella-de-palafrugell,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `calella-de-palafrugell` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/calella-de-palafrugell.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-cannes,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `cannes` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/cannes.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-cannes-walk,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `cannes-walk` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/cannes-walk.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-carrieres-de-bibemus,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `carrieres-de-bibemus` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/carrieres-de-bibemus.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-carrieres-des-lumieres,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `carrieres-des-lumieres` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/carrieres-des-lumieres.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-fondation-vincent-van-gogh-arles,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `fondation-vincent-van-gogh-arles` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/fondation-vincent-van-gogh-arles.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-fort-saint-jean,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `fort-saint-jean` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/fort-saint-jean.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-girona-cathedral,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `girona-cathedral` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/girona-cathedral.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-giverny,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `giverny` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/giverny.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-glanum,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `glanum` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/glanum.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-grand-palais,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `grand-palais` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/grand-palais.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-l-isle-sur-la-sorgue,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `l-isle-sur-la-sorgue` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/l-isle-sur-la-sorgue.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-les-baux-de-provence,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `les-baux-de-provence` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/les-baux-de-provence.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-marseille,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `marseille` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/marseille.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-monaco,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `monaco` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/monaco.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-monaco-walk,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `monaco-walk` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/monaco-walk.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-montagne-sainte-victoire-terrain-des-peintres,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `montagne-sainte-victoire-terrain-des-peintres` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/montagne-sainte-victoire-terrain-des-peintres.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-montorgueil,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `montorgueil` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/montorgueil.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-musee-du-louvre,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `musee-du-louvre` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/musee-du-louvre.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-musee-marmottan-monet,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `musee-marmottan-monet` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/musee-marmottan-monet.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-nce-t2,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `nce-t2` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/nce-t2.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-nice-walk,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `nice-walk` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/nice-walk.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-notre-dame-de-paris,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `notre-dame-de-paris` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/notre-dame-de-paris.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-onyar,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `onyar` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/onyar.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-oppede-le-vieux,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `oppede-le-vieux` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/oppede-le-vieux.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-palau-de-maricel,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `palau-de-maricel` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/palau-de-maricel.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-passeig-de-la-muralla,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `passeig-de-la-muralla` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/passeig-de-la-muralla.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-peralada,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `peralada` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/peralada.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-saint-paul-de-mausole,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `saint-paul-de-mausole` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/saint-paul-de-mausole.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-saint-remy-de-provence,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `saint-remy-de-provence` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/saint-remy-de-provence.md but is not assigned to any day in daily-cards.,EX-02~EX-08
ISSUE-PLC-versailles,ALL,P2,ORPHAN_CANONICAL_PLACE,Canonical place `versailles` is not referenced by any Daily Card stop,Place markdown exists in 30_Places/versailles.md but is not assigned to any day in daily-cards.,EX-02~EX-08
