entity_type,entity_id,region,day,schedule_ref,guide_ref,place_ref,map_ref,search_ref,offline_ref,reverse_link,status,issue,action
MEAL_SLOT,SLOT-42,lyon,Day 23,Day 23 DINNER,guides/lyon.html#food,cafe-comptoir-abel,day-23.html#map,cafe-comptoir-abel,cached_day_23,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-43,lyon,Day 24,Day 24 LUNCH,guides/lyon.html#food,vieux-lyon,day-24.html#map,vieux-lyon,cached_day_24,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-44,lyon,Day 24,Day 24 DINNER,guides/lyon.html#food,daniel-et-denise,day-24.html#map,daniel-et-denise,cached_day_24,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-45,lyon,Day 25,Day 25 LUNCH,guides/lyon.html#food,halles-de-lyon-paul-bocuse,day-25.html#map,halles-de-lyon-paul-bocuse,cached_day_25,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-46,lyon,Day 25,Day 25 DINNER,guides/lyon.html#food,halles-de-lyon-paul-bocuse,day-25.html#map,halles-de-lyon-paul-bocuse,cached_day_25,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-47,lyon,Day 26,Day 26 LUNCH,guides/lyon.html#food,chez-mamie-lise,day-26.html#map,chez-mamie-lise,cached_day_26,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-48,lyon,Day 26,Day 26 DINNER,guides/lyon.html#food,bellecour,day-26.html#map,bellecour,cached_day_26,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-49,paris,Day 27,Day 27 LUNCH,guides/paris.html#food,halles-de-lyon-paul-bocuse,day-27.html#map,halles-de-lyon-paul-bocuse,cached_day_27,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-50,paris,Day 27,Day 27 DINNER,guides/paris.html#food,carrefour-city-lourmel,day-27.html#map,carrefour-city-lourmel,cached_day_27,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-51,paris,Day 28,Day 28 DINNER,guides/paris.html#food,cafe-du-commerce,day-28.html#map,cafe-du-commerce,cached_day_28,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-52,paris,Day 29,Day 29 LUNCH,guides/paris.html#food,marche-convention,day-29.html#map,marche-convention,cached_day_29,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-53,paris,Day 29,Day 29 DINNER,guides/paris.html#food,marche-convention,day-29.html#map,marche-convention,cached_day_29,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-54,paris,Day 30,Day 30 LUNCH,guides/paris.html#food,boulangerie-pichard,day-30.html#map,boulangerie-pichard,cached_day_30,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-55,paris,Day 30,Day 30 DINNER,guides/paris.html#food,bouillon-chartier-montparnasse,day-30.html#map,bouillon-chartier-montparnasse,cached_day_30,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-56,paris,Day 31,Day 31 LUNCH,guides/paris.html#food,boulangerie-pichard,day-31.html#map,boulangerie-pichard,cached_day_31,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-57,paris,Day 31,Day 31 DINNER,guides/paris.html#food,carrefour-city-lourmel,day-31.html#map,carrefour-city-lourmel,cached_day_31,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-58,paris,Day 32,Day 32 LUNCH,guides/paris.html#food,boulangerie-pichard,day-32.html#map,boulangerie-pichard,cached_day_32,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-59,paris,Day 32,Day 32 DINNER,guides/paris.html#food,cafe-du-commerce,day-32.html#map,cafe-du-commerce,cached_day_32,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-60,paris,Day 33,Day 33 LUNCH,guides/paris.html#food,grand-palais,day-33.html#map,grand-palais,cached_day_33,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-61,paris,Day 33,Day 33 DINNER,guides/paris.html#food,carrefour-city-lourmel,day-33.html#map,carrefour-city-lourmel,cached_day_33,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-62,paris,Day 34,Day 34 LUNCH,guides/paris.html#food,versailles,day-34.html#map,versailles,cached_day_34,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-63,paris,Day 34,Day 34 DINNER,guides/paris.html#food,le-grand-pan,day-34.html#map,le-grand-pan,cached_day_34,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-64,paris,Day 35,Day 35 LUNCH,guides/paris.html#food,boulangerie-pichard,day-35.html#map,boulangerie-pichard,cached_day_35,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-65,paris,Day 35,Day 35 DINNER,guides/paris.html#food,carrefour-city-lourmel,day-35.html#map,carrefour-city-lourmel,cached_day_35,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-66,paris,Day 41,Day 41 DINNER,guides/paris.html#food,le-grand-pan,day-41.html#map,le-grand-pan,cached_day_41,VALID (Place -> Day),PASS,NONE,KEEP
