day,stop_id,place_ref,stop_name,ref_exists,linked_by_build
29,notre-dame-compact,notre-dame-de-paris,Notre-Dame de Paris & 시테 섬 (컴팩트 외관 조망),True,False
30,orangerie,musee-de-l-orangerie,Musée de l'Orangerie (오랑주리 미술관),True,False
30,paris-return,bouillon-chartier-montparnasse,Bouillon Chartier Montparnasse 저녁,True,False
31,morning-routine,boulangerie-pichard,Boulangerie Pichard 아침 빵 조달 & 숙소 생활,True,False
31,gustave-moreau,musee-gustave-moreau,Musée Gustave Moreau (귀스타브 모로 미술관),True,False
31,fashion-week-marais,le-marais,Paris Fashion Week 개막 분위기 & Le Marais,True,False
32,paris-return,cafe-du-commerce,Café du Commerce 동네 저녁,True,False
33,fashion-week-montaigne,grand-palais,Paris Fashion Week 서부 축 & Palais de Tokyo,True,False
34,versailles-transfer,versailles,15구 숙소 출발 ➔ RER C ➔ 베르사유 이동,True,False
34,versailles-palace,versailles,Château de Versailles (베르사유 궁전 본관),True,False
34,versailles-lunch,versailles,베르사유 대운하 인근 점심 식사,True,False
34,versailles-gardens,versailles,베르사유 프랑스식 대정원 & 분수 산책,True,False
34,trianon-hamlet,versailles,Grand Trianon & Petit Trianon & 왕비의 촌락,True,False
34,paris-return,le-grand-pan,Le Grand Pan 15구 비스트로 저녁,True,False
35,morning-routine,boulangerie-pichard,Boulangerie Pichard 잠봉 뵈르 샌드위치 & 아침,True,False
36,morning-routine,marche-convention,Marché Convention 토요 장보기 & 아침 루틴,True,False
36,marmottan-monet,musee-marmottan-monet,Musée Marmottan Monet (마르모탕 모네 미술관),True,False
38,morning-routine,boulangerie-pichard,Boulangerie Pichard 브런치 빵 조달 & 세탁,True,False
38,jacquemart-andre,musee-jacquemart-andre,Musée Jacquemart-André (자크마르-앙드레 미술관),True,False
39,musee-picasso,musee-picasso-paris,Musée Picasso Paris (국립 피카소 미술관),True,False
39,marais-walk-carnavalet,le-marais,마레 지구 골목 산책 ➔ 카르나발레 이동,True,False
39,place-des-vosges,le-marais,Place des Vosges (보주 광장 & 아치 회랑),True,False
40,bourse-de-commerce,bourse-de-commerce-pinault-collection,Bourse de Commerce — Pinault Collection,True,False
40,halles-lunch,montorgueil,레 알 / 몽토르게이 점심 식사,True,False
40,vendanges-montmartre,montmartre-south-pigalle,Fête des Vendanges de Montmartre (포도축제 & 몽마르트르),True,False
41,musee-art-moderne,musee-d-art-moderne-de-paris,Musée d'Art Moderne de Paris (MAM),True,False
41,farewell-dinner,le-grand-pan,Le Grand Pan 파리 15박 고별 만찬,True,False
42,farewell-lunch,cafe-du-commerce,Café du Commerce 15구 마지막 점심,True,False
