food_slug,local_name,name_ko,region,category,short_intro,typical_price,best_context,recommended_venues,scheduled_days,source,recommended_places
suquet-de-peix,Suquet de peix,수케트 데 페이시,girona,Seafood Stew,"코스타 브라바 어부들이 갓 잡은 암초 생선, 감자, 마늘, 아몬드 피카다(Picada)를 넣고 끓여낸 진한 해산물 스튜",€22.00~€32.00,점심 또는 저녁 정찬,"Calella de Palafrugell 해변 식당, Sant Feliu",Day 06,Costa Brava Fisherman Cuisine,
arros-cassola-pals,Arròs a la cassola,아로스 아 라 카솔라 (팔스 쌀 요리),girona,Rice Casserole,"팔스(Pals) 특산 쌀을 토기 냄비에 담아 고기와 해산물, 버섯 육수가 촉촉하게 배어들게 끓여낸 엠포르다 냄비밥",€18.00~€28.00,내륙 마을 점심,Pals / Peratallada 로컬 식당,Day 06,Empordà Heritage Gastronomy,
mar-i-muntanya,Mar i muntanya,마르 이 문타냐 (바다와 산),girona,Meat & Seafood,닭고기나 미트볼(산)에 바닷가재나 딱새우·오징어(바다)를 초콜릿·넛트 피카다 소스로 함께 조려낸 엠포르다 전통 요리,€18.00~€28.00,지로나 저녁 정찬,Casa Marieta (Girona),"Day 04, 05",Empordà Signature Cuisine,
xuixo-de-girona,Xuixo de Girona,추쇼 데 지로나,girona,Pastry,원통형 페이스트리에 진한 크레마 카탈라나를 채워 바삭하게 튀긴 후 설탕을 묻힌 지로나 최고의 명물 빵,€2.20~€3.50 / piece,아침 식사 / 커피 간식,"Mercat del Lleó, 지로나 로컬 베이커리","Day 04, 05",Girona Protected Pastry (1918),
anxoves-de-lescala,Anxoves de L'Escala,레스칼라 앤초비,girona,Cured Seafood,코스타 브라바 레스칼라 마을에서 전통 염장 기법으로 8개월 이상 숙성시킨 최고급 올리브유 절임 앤초비,€8.00~€15.00 / plate,타파스 / 와인 안주,"Mercat del Lleó, 엠포르다 식당","Day 04, 05, 06",Costa Brava Artisanal Heritage,
anchois-de-collioure,Anchois de Collioure,콜리우르 앤초비 (IGP),collioure,Cured Seafood,중세부터 이어온 콜리우르 항구의 염장·초절임 앤초비(Anchois marinés / au sel). 유럽연합 IGP 지리적 표시 보호 품목,€6.00~€12.00 / plate,콜리우르 점심 전채 / 와인 안주,"Maison Desclaux, Roque, Collioure 비스트로",Day 05,Collioure Anchovy IGP Heritage,
banyuls-collioure-wine,Vins de Collioure & Banyuls,콜리우르 & 바뉼스 와인 (AOC),collioure,Wine,피레네 산맥이 지중해로 떨어지는 가파른 편암 테라스 포도원에서 생산되는 농밀한 레드 와인 및 천연 감미 와인,€5.00~€9.00 / glass,점심·저녁 반주 / 테이스팅,Collioure 레스토랑 & 와인 숍,Day 05,Côte Vermeille AOC Wine,
calissons-d-aix,Calissons d'Aix,칼리송 덱스,aix,Confectionery / Pastry,아몬드 페이스트와 멜론·오렌지 당절임 반죽에 로열 아이싱을 입힌 15세기 엑상프로방스 대표 전통 과자,€1.20~€2.00 / piece,아침 커피 / 간식 / 선물,"Pâtisserie Weibel, Maison Brémond",Day 13,Aix-en-Provence Protected IGP Heritage,
bouillabaisse,Bouillabaisse traditionnelle,정통 부야베스,marseille,Seafood Stew,"라스카스, 콩그르 등 5종 이상의 지중해 암초 생선과 사프란 육수, 마늘 루이으(Rouille) 소스, 크루통을 곁들인 마르세유·카시스 전통 생선 스튜",€55.00~€75.00 / person,점심 정찬 (사전 예약 / 90분),"Chez Gilbert (Cassis), Chez Fonfon (Marseille)","Day 14, 15",Charte de la Bouillabaisse,
panisse,Panisse marseillaise,파니스 (병아리콩 튀김),marseille,Street Food / Snack,병아리콩 가루를 반죽해 굳힌 뒤 도톰하게 썰어 바삭하게 튀겨내고 소금을 뿌린 마르세유·에스타크 전통 길거리 간식,€4.00~€7.00 / cone,오후 간식 / 맥주 안주,"Vieux-Port 좌판, L'Estaque",Day 15,Marseille Street Food Heritage,
navettes-de-marseille,Navettes de Marseille,나베트 (오렌지꽃 비스킷),marseille,Biscuit / Pastry,1781년부터 성촉절에 구워온 배 모양의 단단한 오렌지꽃 향 비스킷,€0.80~€1.50 / piece,간식 / 기념품,Four des Navettes,Day 15,Marseille Traditional Heritage,
tapenade-anchoiade,Tapenade & Anchoïade,타프나드 & 앙쇼이아드,luberon,Spread / Dip,"블랙·그린 올리브와 케이퍼, 앤초비, 올리브유를 빻아 만든 타프나드와 신선 채소용 마늘 앤초비 딥",€4.00~€8.00 / jar,숙소식 아페리티프 / 바게트 스프레드,"Marché Paysan de Coustellet, Gordes 시장","Day 16, 17, 18",Provençal Classic Aperitif,
banon-goat-cheese,Fromage de Banon AOP,바농 염소 치즈,luberon,Artisan Cheese,오크 밤나무 잎으로 감싸 라피아 끈으로 묶어 숙성시킨 뤼베롱·오트프로방스 전통 부드러운 생 염소 치즈,€4.50~€7.00 / piece,피크닉 / 숙소식 와인 안주,"Coustellet 시장 가판, Gordes 시장","Day 16, 17, 18",AOP Protected French Cheese,
soupe-au-pistou,Soupe au pistou,수프 오 피스투,luberon,Vegetable Soup,"여름·초가을 제철 콩, 주키니, 감자, 토마토에 바질·마늘·올리브유 페스토(Pistou)와 치즈를 듬뿍 넣은 프로방스 채소 수프",€8.00~€14.00,점심 또는 저녁 가벼운 식사,Roussillon / Goult 비스트로,"Day 16, 17",Provençal Summer Heritage,
daube-provencale,Daube provençale,도브 프로방살,avignon,Braised Stew,"론 밸리 레드 와인과 오렌지 껍질, 허브를 넣고 질그릇이나 무쇠 코코트 냄비에 6시간 이상 뭉근히 끓인 소고기 스튜",€18.00~€26.00,저녁 정찬 메인,Les Cocottes Saint-Louis (Avignon),"Day 20, 22",Traditional Provençal Comfort Dish,
aioli-provencal,Grand Aïoli provençal,그랑 아이올리,avignon,Platter,"신선한 마늘과 올리브유로 만든 진한 아이올리 소스에 데친 대구(Morue), 감자, 당근, 콜리플라워, 달걀을 곁들인 금요 전통 요리",€18.00~€25.00,금요일 점심 / 비스트로,Uzès / Avignon 로컬 식당,"Day 20, 21",Provençal Traditional Friday Feast,
gardianne-de-taureau,Gardianne de taureau AOP,가르디안 드 토로 (카마르그 황소 스튜),arles,Meat Stew,"카마르그 습지에서 방목한 AOP 황소 고기를 코스티에르 드 님 레드 와인과 앤초비, 오렌지 필로 끓인 아를의 영혼 요리 (카마르그 적미 곁들임)",€18.00~€24.00,아를 점심 메인,Le Gibolin (Arles),Day 22,Camargue AOP Heritage Gastronomy,
tartiflette-reblochon,Tartiflette au Reblochon AOP,타르티플레트,annecy,Alpine Comfort Dish,"얇게 썬 감자와 양파, 훈제 베이컨 라르동을 화이트 와인에 볶아 사부아 특산 르블로숑(Reblochon AOP) 치즈를 통째로 얹어 오븐에 노릇하게 구워낸 알프스 정통 요리",€18.00~€24.00,안시 구시가지 점심 메인,Chez Mamie Lise (Annecy),Day 26,AOP Reblochon Heritage,
fondue-savoyarde,Fondue savoyarde traditionnelle,정통 사부아 퐁뒤,annecy,Cheese Fondue,"보포르(Beaufort), 아봉당스(Abondance), 콩테(Comté) 치즈를 화이트 와인과 마늘, 키르슈로 녹여 깍둑썬 빵을 찍어 먹는 알프스 나눔 요리",€22.00~€28.00 / person,안시 구시가지 점심 (2인 이상),Chez Mamie Lise,Day 26,Savoy Alpine Gastronomy,
filets-de-perche-fera,Filets de féra / perche du lac d'Annecy,안시 호수 생선구이 (페라 / 농어),annecy,Lake Fish,알프스 청정 1급수 안시 호수에서 갓 잡은 담수어(페라 또는 농어)를 레몬 버터 소스에 바삭하게 구워낸 담백한 호수 요리 (치즈 요리 부담 시 최적 대안),€24.00~€30.00,안시 호수변 / 구시가지 가벼운 점심,"Chez Mamie Lise, Lac d'Annecy 비스트로",Day 26,Lac d'Annecy Local Catch,
reblochon-tomme-savoie,Fromages de Savoie (Reblochon & Tomme),사부아 치즈 (르블로숑 & 톰 드 사부아),annecy,Artisan Cheese,생우유로 빚어 부드럽고 견과류 향이 나는 르블로숑과 잿빛 껍질의 담백하고 쫄깃한 톰 드 사부아,€5.00~€9.00 / portion,안시 시장 장보기 / 피크닉,Annecy 구시가지 프로마주리,Day 26,Savoy AOP/IGP Cheeses,
quenelle-de-brochet,Quenelle de brochet sauce Nantua,강꼬치고기 끄넬 (낭튀아 가재 소스),lyon,Main Dish,"곱게 간 강꼬치고기 살과 버터, 달걀, 슈 페이스트 반죽을 삶아 민물가재(Écrevisses) 낭튀아 크림 소스를 얹어 오븐에 부풀려 구워낸 리옹 최고 대표 요리",€22.00~€32.00,부숑 저녁 정찬 / Les Halles 점심,"Café Comptoir Abel, Daniel et Denise, Giraudet","Day 23, 24, 25",Lyonnaise Classic Gastronomy,
salade-lyonnaise,Salade lyonnaise,살라드 리요네즈,lyon,Salad / Entrée,"프리제(Frisée) 상추에 바삭하게 구운 두툼한 베이컨 라르동, 바삭한 버터 크루통, 완벽하게 익힌 수란(Oeuf poché)을 올린 리옹식 웜 샐러드",€12.00~€18.00,부숑 전채 / 점심 가벼운 식사,"Daniel et Denise, Vieux Lyon 비스트로","Day 23, 24",Authentic Bouchon Starter,
saucisson-brioche,Saucisson brioché,소시송 브리오셰,lyon,Charcuterie / Pastry,피스타치오를 넣은 리옹 특산 생소시지를 부드럽고 달콤한 버터 브리오슈 반죽 속에 통째로 넣어 구워낸 따뜻한 전채,€14.00~€20.00,부숑 전채 / Les Halles 테이크아웃,"Maison Sibilia (Halles), Daniel et Denise","Day 24, 25",Traditional Lyonnaise Charcuterie,
tablier-de-sapeur,Tablier de sapeur,타블리에 드 사푀르 (소 양 튀김),lyon,Offal Dish,화이트 와인과 향신료에 마리네이드한 두툼한 소 양(Gras-double)에 빵가루를 입혀 바삭하게 지져내고 마늘 타르타르풍 그리비슈 소스를 곁들인 전통 요리,€18.00~€26.00,부숑 저녁 메인 (미식 모험),Daniel et Denise,Day 24,Canut Offal Culinary Heritage,
cervelle-de-canut,Cervelle de canut,세르벨 드 카뉘 (허브 생치즈),lyon,Cheese / Dip,"신선한 프로마주 블랑(Fromage blanc)에 차이브, 샬롯, 마늘, 올리브유, 화이트 와인 식초를 섞은 상큼하고 크리미한 전통 치즈 요리 (바게트 또는 삶은 감자 곁들임)",€6.00~€9.00,식사 마무리 치즈 코스 / 아페리티프,"Café Comptoir Abel, Bouchon 전역","Day 23, 24",Silk Weaver (Canut) Heritage,
tarte-aux-pralines,Tarte aux pralines de Saint-Genix,타르트 오 프랄린 (분홍 프랄린 타르트),lyon,Dessert / Pastry,붉은 설탕 옷을 입힌 아몬드 프랄린 로즈(Praline rose)를 생크림과 함께 녹여 바삭한 타르트 시트에 채워 구워낸 리옹의 상징적인 핑크빛 디저트,€4.50~€7.00 / slice,부숑 식후 디저트 / 베이커리 간식,"Chocolatier Sève, Boulangerie du Palais","Day 24, 25",Iconic Lyonnaise Pâtisserie,
croissant-pain-au-chocolat,Croissant & Pain au chocolat,크루아상 & 팽 오 쇼콜라,paris,Viennoiserie,프랑스 AOP 버터를 듬뿍 넣어 겹겹이 바삭하고 속은 촉촉한 전통 아침 페이스트리,€1.30~€1.80,파리 아침 일상 루틴 (07:30~09:00),"Boulangerie Pichard, 15구 아티장 빵집","Days 28, 29, 31, 35, 38, 42",Parisian Daily Breakfast Standard,
baguette-tradition,Baguette de Tradition française,바게트 트라디시옹,paris,Boulangerie,화학첨가물 없이 천연 발효종(Levain)으로 구워낸 겉바속촉 파리 정통 바게트,€1.20~€1.50,숙소 아침 / 피크닉 / 샌드위치,Boulangerie Pichard,Days 28-42 매일,French Bread Decree 1993 Standard,
jambon-beurre,Sandwich Jambon-Beurre,잠봉 뵈르 샌드위치,paris,Street / Quick Lunch,갓 구운 바게트 트라디시옹에 최고급 파리 햄과 신선한 무염 버터를 넣은 파리의 소울 샌드위치,€4.50~€6.50,미술관 관람 전후 점심 / 공원 피크닉,"Boulangerie Pichard, 15구 베이커리","Days 29, 33, 35",Classic Parisian Quick Lunch,
confit-de-canard,Confit de canard du Sud-Ouest,오리 다리 콩피,paris,Bistro Classic,오리 기름에 장시간 저온 조리하여 겉껍질을 바삭하게 굽고 속살은 부드럽게 찢어지는 남서부풍 클래식 요리,€16.00~€24.00,브라세리 / 부이용 저녁 식사,"Café du Commerce, Bouillon Chartier","Days 28, 30, 32",Timeless French Brasserie Icon,
steak-frites,Steak-Frites (Faux-filet grillé),스테이크 프릿,paris,Bistro Classic,샤롤레 소고기 채끝 스테이크를 노릇하게 굽고 수제 감자튀김을 곁들인 프랑스 국민 비스트로 요리,€18.00~€28.00,동네 브라세리 저녁,"Café du Commerce, Le Grand Pan","Days 28, 34, 41",French Comfort Gastronomy,
boeuf-bourguignon,Boeuf Bourguignon,뵈프 부르기뇽,paris,Slow Cooked Stew,"진한 부르고뉴 레드 와인에 소고기, 당근, 버섯을 넣고 푹 조려낸 프랑스 전통 가정식 비프 스튜",€11.50~€19.00,부이용 / 비스트로 저녁,Bouillon Chartier Montparnasse,Day 30,Classic French Beef Stew,
escargots-de-bourgogne,Escargots de Bourgogne,에스카르고 (달팽이 구이),paris,Entrée,"파슬리, 마늘, 버터를 듬뿍 채워 전용 팬에 오븐 구이한 부르고뉴 정통 달팽이 전채 (6/12미)",€7.50~€14.00,브라세리 / 부이용 전채,"Café du Commerce, Bouillon Chartier","Days 28, 30, 32",Traditional French Starter,
poulet-roti-marche,Poulet rôti du marché & pommes,노천시장 로티세리 치킨 & 감자,paris,Market Comfort,노천시장 회전 그릴에서 닭기름을 머금고 구워진 통닭과 바닥에서 함께 익은 알감자,€12.00~€16.00 (1마리+감자),일요일·화요일 시장 장보기 후 숙소 점심,Marché Convention,"Days 29, 31, 36",Sunday Market Living Ritual,
