region,name,type,grade,grade_raw,days,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,X,X_high,unverified,weekday_conflict
nice,Vieux-Port (Cannes),sight,none,(무등급),9,N,P,P,P,-,-,-,-,P,P,,,,,,,,,,0,0,0,
nice,Musée de la Photographie Charles Nègre,sight,optional,(선택),11,N,N,N,N,Y,N,N,N,Y,N,,,,,,,,,,0,0,0,
nice,Musée Matisse,sight,alternative,(우천 대안),8;9;11,N,N,Y,N,Y,Y,Y,N,N,N,,,,,,,,,,0,0,1,조건부 — 일반 우천 지침(L190-191)이 '니스 도시일' 전환지로 제시하나 9/8(화)는 휴관. Day 5 본문은 휴관을 인지
nice,Musée Chagall,sight,alternative,(우천 대안),8;9;11,N,N,N,N,N,Y,N,N,N,N,,,,,,,,,,0,0,0,조건부 — Matisse와 동일 (9/8 화 적용 시 휴관)
nice,Villa Ephrussi de Rothschild,sight,none,(참고 언급),,N,N,P,N,Y,Y,Y,N,N,N,,,,,,,,,,0,0,1,
nice,Villefranche-sur-Mer,sight,alternative,(근교 대안),,N,P,P,P,-,-,-,-,N,N,,,,,,,,,,0,0,0,
nice,Èze Village,sight,alternative,(근교 대안),,N,P,P,P,N,-,N,-,N,N,,,,,,,,,,1,0,0,
nice,Saint-Paul-de-Vence,sight,none,(경유지),12,Y,P,N,P,-,-,-,-,Y,P,,,,,,,,,,1,1,0,
nice,Grasse vieille ville,sight,none,(경유지),12,Y,P,N,P,-,-,-,-,Y,P,,,,,,,,,,0,0,0,
nice,Musée Océanographique (Monaco),sight,alternative,(우천 대안),10,N,P,N,N,N,N,N,N,N,N,,,,,,,,,,0,0,1,
nice,Palais Lascaris,sight,alternative,(우천 대안),8,N,N,P,N,N,N,N,N,N,N,,,,,,,,,,0,0,1,
nice,Chez Pipo,restaurant,candidate,(추천),7,,,,,,,,,,,Y,N,N,N,N,N,Y,P,Y,0,0,0,
nice,Chez Thérésa (셰 테레자),restaurant,candidate,(추천 언급),,,,,,,,,,,,P,N,N,N,N,N,Y,N,-,0,0,1,
nice,Acchiardo,restaurant,candidate,(추천),8,,,,,,,,,,,Y,P,N,N,N,N,Y,P,N,1,1,0,9/5(토) 저녁 배정 vs 원장 '월-금만 영업'
nice,La Table Alziari,restaurant,candidate,(추천),8,,,,,,,,,,,Y,N,N,N,N,P,Y,Y,Y,0,0,0,
aix,Saint-Paul-de-Vence (Fondation Maeght·마을 묘지 포함),sight,priority,우선추천,12,Y,Y,P,P,Y,Y,Y,N,Y,Y,,,,,,,,,,2,1,0,
aix,Grasse (프라고나르 향수박물관),sight,optional,선택,12,Y,Y,P,N,N,N,N,N,Y,Y,,,,,,,,,,0,0,0,
aix,Vieil Aix 기본 도보 코스,walk,none,기본 코스,13,P,P,Y,-,-,-,-,-,Y,Y,,,,,,,,,,0,0,0,
aix,Cours Mirabeau (분수 4기·세잔 흔적 포함),sight,essential,필수,13,Y,Y,Y,N,-,-,Y,-,Y,Y,,,,,,,,,,1,0,1,
aix,Fontaine de la Rotonde,sight,optional,선택,12;13,Y,Y,Y,-,-,-,Y,-,Y,Y,,,,,,,,,,0,0,0,
aix,시장 — Place Richelme · Place des Prêcheurs,market,essential,필수,13;15,,,,,,,,,,,Y,Y,P,Y,Y,-,Y,N,Y,0,0,0,
aix,Musée Granet,sight,essential,우선추천(한눈에 보기는 '필수' — 불일치),13,Y,Y,Y,P,Y,Y,Y,Y,Y,Y,,,,,,,,,,2,0,0,
aix,Marseille (당일치기 축),sight,essential,필수,14,Y,Y,Y,Y,-,-,-,-,Y,Y,,,,,,,,,,0,0,0,
aix,Vieux-Port,sight,essential,필수,14,Y,Y,Y,Y,-,-,-,-,Y,Y,,,,,,,,,,0,0,0,
aix,Le Panier,walk,priority,우선추천,14,N,Y,Y,Y,-,-,-,-,Y,Y,,,,,,,,,,0,0,0,
aix,Mucem,sight,essential,필수,14,Y,Y,Y,Y,P,Y,Y,Y,Y,Y,,,,,,,,,,0,0,1,
aix,Fort Saint-Jean,sight,essential,필수,14,Y,Y,Y,Y,P,P,P,-,Y,Y,,,,,,,,,,0,0,0,
aix,Notre-Dame de la Garde,sight,optional,선택,14,N,Y,Y,P,Y,Y,Y,-,N,Y,,,,,,,,,,1,0,0,
aix,Cassis 항구,sight,alternative,대체,14,Y,Y,P,Y,-,-,-,-,Y,Y,,,,,,,,,,1,1,0,Cassis 대체일 9/11(금): Gorguettes 셔틀 미운행(9월 주말·방학·공휴일만) — 평일 전략 무효
aix,Calanques,sight,alternative,대체,14,Y,Y,Y,Y,P,-,N,P,P,Y,,,,,,,,,,0,0,1,
aix,Atelier des Lauves (Atelier de Cézanne),sight,essential,필수,15,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,2,1,0,
aix,Bastide du Jas de Bouffan,sight,priority,우선추천(운용상 선택),15,N,Y,Y,N,P,P,Y,Y,P,Y,,,,,,,,,,0,0,1,
aix,Carrières de Bibémus,sight,alternative,대체,15,N,Y,P,N,P,Y,N,Y,Y,Y,,,,,,,,,,0,0,0,
aix,Montagne Sainte-Victoire · Terrain des Peintres,sight,priority,우선추천,15,N,Y,Y,P,-,-,Y,-,P,Y,,,,,,,,,,0,0,1,
aix,Lourmarin,sight,priority,우선추천,16,Y,Y,P,Y,N,N,N,-,Y,P,,,,,,,,,,0,0,1,
aix,Cathédrale Saint-Sauveur,sight,optional,선택,13,N,P,P,-,N,N,N,-,N,P,,,,,,,,,,0,0,0,
aix,Quartier Mazarin,walk,priority,우선추천,13,N,P,Y,-,-,-,-,-,P,P,,,,,,,,,,0,0,0,
aix,Fondation Vasarely,sight,optional,선택,,N,P,N,N,N,N,N,N,N,N,,,,,,,,,,0,0,0,
aix,Parc de la Torse,walk,none,기본(운동),15,N,P,P,P,-,-,-,-,Y,Y,,,,,,,,,,0,0,0,
aix,Coucou,restaurant,candidate,저녁 후보,13,,,,,,,,,,,Y,N,N,N,N,P,Y,Y,N,0,0,0,
aix,La Brocherie,restaurant,candidate,저녁 후보,13,,,,,,,,,,,Y,N,N,N,N,P,Y,Y,N,0,0,0,
aix,Aux Papillons,restaurant,candidate,특별식 후보,15,,,,,,,,,,,Y,N,N,N,N,P,Y,Y,N,0,0,0,
aix,La Kémia,restaurant,candidate,후보,,,,,,,,,,,,Y,N,N,N,N,P,Y,P,N,0,0,0,
aix,Le Ramus,restaurant,candidate,후보,,,,,,,,,,,,Y,N,N,N,N,P,Y,Y,N,0,0,0,
aix,Chez Lulu,restaurant,candidate,점심 후보,,,,,,,,,,,,Y,N,N,P,N,Y,Y,Y,N,0,0,0,
aix,Les Galinas – La Table Provençale,restaurant,candidate,후보(빕 구르망),,,,,,,,,,,,Y,P,N,N,N,P,Y,N,N,0,0,0,
aix,Il Était une Fois,restaurant,candidate,후보,,,,,,,,,,,,Y,N,N,N,N,P,P,P,N,0,0,0,
aix,Le Art – Château de la Gaude,restaurant,candidate,후보(미슐랭 1스타),,,,,,,,,,,,Y,P,N,N,N,P,N,P,N,0,0,0,
aix,Chez Madie Les Galinettes,restaurant,candidate,Marseille 점심 후보(방침 변경 시),14,,,,,,,,,,,Y,P,N,N,N,P,Y,P,N,0,0,0,
aix,Restaurant Michel,restaurant,candidate,부야베스 후보(방침 변경 시),,,,,,,,,,,,Y,N,N,N,N,P,Y,P,N,0,0,0,
aix,Chez Fonfon,restaurant,candidate,부야베스 후보(방침 변경 시),,,,,,,,,,,,Y,P,N,N,N,P,Y,P,N,0,0,0,
aix,Pâtisserie Weibel,cafe,candidate,추천,13,,,,,,,,,,,P,Y,N,P,P,-,Y,N,P,0,0,0,
aix,Calissoun (Richelme 시장 출점),cafe,candidate,추천,15,,,,,,,,,,,P,Y,P,Y,-,-,Y,N,Y,0,0,0,
luberon,Lourmarin (마을·카뮈 묘·성),sight,essential,essential,9/13,Y,Y,P,Y,P,P,P,-,Y,Y,,,,,,,,,,1,0,0,
luberon,Coustellet 생산자시장,market,essential,essential,9/13,,,,,,,,,,,Y,P,Y,Y,-,-,Y,P,Y,0,0,0,
luberon,Roussillon · Sentier des Ocres,walk,essential,essential,9/14,Y,Y,P,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,0,0,0,
luberon,Goult,sight,priority,priority,9/14,N,Y,P,P,-,-,-,-,Y,P,,,,,,,,,,0,0,0,
luberon,Bonnieux,sight,alternative,alternative,9/14(대안),N,Y,P,N,-,-,-,-,P,Y,,,,,,,,,,0,0,0,
luberon,Gordes (마을·성),sight,essential,essential,9/15,Y,Y,P,Y,N,N,N,-,Y,Y,,,,,,,,,,0,0,1,
luberon,Gordes 화요시장,market,essential,essential,9/15,,,,,,,,,,,Y,P,Y,Y,-,-,P,N,Y,0,0,0,
luberon,Village des Bories,sight,priority,priority,9/15,Y,Y,P,Y,Y,Y,Y,N,Y,Y,,,,,,,,,,0,0,0,
luberon,Abbaye de Sénanque,sight,priority,priority,9/15,Y,Y,P,Y,P,P,P,P,Y,Y,,,,,,,,,,2,1,2,
luberon,Ménerbes,sight,priority,priority,9/15(선택 A안),N,Y,P,P,-,-,-,-,Y,P,,,,,,,,,,0,0,1,기준일 오류: 방문일 9/15(화) 대신 9/16(수)과 대조 — 구 일정 잔존
luberon,Oppède-le-Vieux,sight,alternative,alternative,9/15(선택 B안),N,Y,P,P,-,-,-,-,P,Y,,,,,,,,,,1,0,0,
luberon,L'Isle-sur-la-Sorgue (마을),sight,alternative,alternative,,Y,Y,P,P,P,-,-,-,Y,Y,,,,,,,,,,0,0,0,
luberon,L'Isle-sur-la-Sorgue 시장,market,alternative,alternative,,,,,,,,,,,,Y,P,P,P,-,-,N,N,-,0,0,1,
luberon,Fontaine-de-Vaucluse,sight,alternative,alternative,,N,Y,P,N,-,-,-,-,P,P,,,,,,,,,,0,0,0,
luberon,Lacoste,sight,alternative,alternative,,N,Y,P,N,Y,P,Y,N,P,P,,,,,,,,,,0,0,1,
luberon,Apt,sight,alternative,alternative,,N,P,N,N,-,-,-,-,P,P,,,,,,,,,,0,0,0,
luberon,Ôkhra 오커 워크숍 (VOM OCKER ZUR FARBE),sight,alternative,alternative,9/16(선택→충돌),N,P,P,N,P,-,Y,P,P,N,,,,,,,,,,1,0,0,9/16 10:00 배치는 아비뇽 이동일과 충돌
luberon,Mines de Bruoux,sight,alternative,alternative,,N,Y,P,N,Y,P,Y,Y,Y,P,,,,,,,,,,0,0,0,
luberon,Goût Bistrot,restaurant,priority,priority,9/14(저녁 후보),,,,,,,,,,,Y,P,N,Y,N,Y,Y,Y,Y,0,0,0,
luberon,JU – Maison de Cuisine,restaurant,priority,priority,9/14(대안),,,,,,,,,,,Y,P,N,N,N,Y,Y,Y,P,0,0,0,
luberon,La Table des Ocres,restaurant,candidate,candidate,9/14(점심 후보),,,,,,,,,,,Y,P,N,N,N,Y,Y,Y,N,0,0,0,
luberon,La Cuisine des Huguets,restaurant,candidate,candidate,9/14(점심 후보),,,,,,,,,,,Y,P,N,N,N,P,Y,P,N,0,0,0,
luberon,La Gaudina,restaurant,candidate,candidate,,,,,,,,,,,,Y,P,N,N,N,P,Y,P,N,0,0,0,
luberon,Restaurant Pistou,restaurant,candidate,candidate,9/15(후보),,,,,,,,,,,Y,P,N,N,N,Y,Y,P,N,0,0,0,
